1	a550962-4368120-060520-253_G01.CEL	15918	Puerto Rico	18.004669	-67.33082	Margarita West Nursery	Puerto Rico	Margarita West Nursery	2
2	a550962-4368120-060520-253_G21.CEL	P199xC182_4	Belize	16.4367167	-88.1990167	LaughingBirdCaye	Belize	LaughingBirdCaye	1
3	a550962-4368120-060520-253_I23.CEL	6298	Florida	24.517654	-81.62134	LowerKeys	Florida	LowerKeys	3
4	a550962-4368120-060520-253_K23.CEL	6299	Florida	24.517654	-81.62134	LowerKeys	Florida	LowerKeys	3
5	a550962-4368120-060520-253_O23.CEL	6303	Florida	24.517654	-81.62134	LowerKeys	Florida	LowerKeys	1
6	a550962-4368120-060520-252_C07.CEL	4917	Florida	24.946333	-80.470166	Little Conch	Florida	Little Conch	3
7	a550962-4368120-060520-252_C09.CEL	4918	Florida	24.9509	-80.4936166	Plantation Key	Florida	Plantation Key	3
8	a550962-4368120-060520-252_E01.CEL	9395	Florida	24.517654	-81.62134	LowerKeys	Florida	LowerKeys	3
9	a550962-4368120-060520-252_E05.CEL	9592	Florida	25.37236	-80.17155	Biscayne National Park	Florida	Biscayne National Park	3
10	a550962-4368120-060520-252_E07.CEL	9609	Florida	25.42616	-80.14175	Biscayne National Park	Florida	Biscayne National Park	3
11	a550962-4368120-060520-252_E09.CEL	9749	Puerto Rico	17.949552	-66.727433	Margara	Puerto Rico	Margara	2
12	a550962-4368120-060520-252_E11.CEL	9759	Puerto Rico	17.949552	-66.727433	Margara	Puerto Rico	Margara	2
13	a550962-4368120-060520-252_G11.CEL	13756	USVI	18.316367	-64.98855	FlatKey	USVI	FlatKey	2
14	a550962-4368120-060520-252_I05.CEL	13923	Curacao	12.043117	-68.762433	East Point	Curacao	East Point	2
15	a550962-4368120-060520-252_I13.CEL	13935	Curacao	12.109283	-68.954933	WaterFactory	Curacao	WaterFactory	2
16	a550962-4368120-060520-252_I19.CEL	15364	Belize	16.182848	-88.65966	site 12	Belize	site 12	1
17	a550962-4368120-060520-252_I21.CEL	15371	Belize	16.182848	-88.65966	Carne Nursery	Belize	Carne Nursery	1
18	a550962-4368120-060520-252_I23.CEL	15372	Belize	16.182848	-88.65966	dory channel	Belize	dory channel	1
19	a550962-4368120-060520-252_K03.CEL	15375	Belize	16.182848	-88.65966	False Caye	Belize	False Caye	1
20	a550962-4368120-060520-252_K05.CEL	15377	Belize	16.182848	-88.65966	by_RHT1	Belize	by_RHT1	1
21	a550962-4368120-060520-252_K07.CEL	15378	Belize	16.182848	-88.65966	BBC_patch	Belize	BBC_patch	1
22	a550962-4368120-060520-252_K13.CEL	15626	Belize	16.7909389	-88.0830056	Curlew	Belize	Curlew	1
23	a550962-4368120-060520-252_M09.CEL	15616	Belize	16.182848	-88.65966	Glovers-118	Belize	Glovers-118	1
24	a550962-4368120-060520-252_O01.CEL	15719	Belize	16.182848	-88.65966	Belize	Belize	Belize	1
25	a550962-4368120-060520-252_O21.CEL	15729	Cuba	23.220565	-82.346683	JudyLang	Cuba	JudyLang	2
26	a550962-4368120-060520-256_A09.CEL	4936	Florida	24.812933	-80.669567	Lower Matecumbe	Florida	Lower Matecumbe	1
27	a550962-4368120-060520-256_A11.CEL	4955	Florida	25.13985	-80.294583	CRF	Florida	CRF	3
28	a550962-4368120-060520-256_A13.CEL	6649	Florida	24.692317	-80.97575	CRF	Florida	CRF	3
29	a550962-4368120-060520-256_A15.CEL	9719	Puerto Rico	17.949552	-66.727433	Margara	Puerto Rico	Margara	2
30	a550962-4368120-060520-256_A19.CEL	13716	USVI	18.405727	-64.90444	HansLollik	USVI	HansLollik	2
31	a550962-4368120-060520-256_A23.CEL	4915	Florida	24.9519	-80.451133	Conch Reef	Florida	Conch Reef	3
32	a550962-4368120-060520-256_C07.CEL	4909	Florida	25.003583	-80.450917	Patch Reef	Florida	Patch Reef	3
33	a550962-4368120-060520-256_C09.CEL	4943	Florida	24.80205	-80.667367	Lower Matecumbe	Florida	Lower Matecumbe	3
34	a550962-4368120-060520-256_C11.CEL	4956	Florida	25.0208	-80.40085	CRF	Florida	CRF	3
35	a550962-4368120-060520-256_C13.CEL	6653	Florida	24.692317	-80.97575	CRF	Florida	CRF	3
36	a550962-4368120-060520-256_E07.CEL	4911	Florida	25.00945	-80.4514	Patch Reef	Florida	Patch Reef	3
37	a550962-4368120-060520-256_E09.CEL	4944	Florida	24.817933	-80.651767	CRF	Florida	CRF	3
38	a550962-4368120-060520-256_E11.CEL	4958	Florida	24.72015	-80.92875	Grassy Key	Florida	Grassy Key	3
39	a550962-4368120-060520-256_E23.CEL	SIBM13_3	Florida	25.0179	-80.368617	Sandisland Blue x M13	Florida	Sandisland Blue x M13	3
40	a550962-4368120-060520-256_G05.CEL	3844	USVI	18.31822	-64.99104	Flat Cay	USVI	Flat Cay	2
41	a550962-4368120-060520-256_G07.CEL	4913	Florida	24.9886	-80.402567	Pickles Reef	Florida	Pickles Reef	3
42	a550962-4368120-060520-256_G09.CEL	4945	Florida	24.80255	-80.6524	Lower Matecumbe	Florida	Lower Matecumbe	3
43	a550962-4368120-060520-256_G11.CEL	4963	Florida	24.692317	-80.97575	Grassy Key	Florida	Grassy Key	3
44	a550962-4368120-060520-256_G23.CEL	SIBM13_4	Florida	25.0179	-80.368617	Sandisland Blue x M13	Florida	Sandisland Blue x M13	3
45	a550962-4368120-060520-256_I03.CEL	1372_Symbiont	Florida	25.373333	-80.160217	Marker 3	Florida	Marker 3	1
